Cut Edges,Presidential Democratic Districts,Presidential Republican Districts,Presidential Efficiency Gap,Governor Democratic Districts,Governor Republican Districts,Governor Efficiency Gap
795.0,3.0,5.0,-0.131929775844248,3.0,5.0,-0.1229880958880209
786.0,2.0,6.0,-0.25588960367782043,2.0,6.0,-0.24839454260928387
767.0,2.0,6.0,-0.25588960367782043,2.0,6.0,-0.24839454260928387
742.0,2.0,6.0,-0.25588960367782043,2.0,6.0,-0.24839454260928387
738.0,2.0,6.0,-0.25588960367782043,2.0,6.0,-0.24839454260928387
726.0,2.0,6.0,-0.25588960367782043,2.0,6.0,-0.24839454260928387
726.0,2.0,6.0,-0.2569367951744034,2.0,6.0,-0.24944404082391522
669.0,2.0,6.0,-0.2568716928155999,2.0,6.0,-0.24925468065132256
686.0,2.0,6.0,-0.2568716928155999,2.0,6.0,-0.24925468065132259
736.0,2.0,6.0,-0.26009379676339456,2.0,6.0,-0.2525054908723433
741.0,2.0,6.0,-0.26238811496274356,2.0,6.0,-0.2547178743404367
733.0,2.0,6.0,-0.26238811496274356,2.0,6.0,-0.2547178743404367
768.0,2.0,6.0,-0.26238811496274356,2.0,6.0,-0.2547178743404367
788.0,2.0,6.0,-0.26238811496274356,2.0,6.0,-0.2547178743404367
744.0,2.0,6.0,-0.2589673099767051,2.0,6.0,-0.2510230603276314
695.0,2.0,6.0,-0.2589673099767051,2.0,6.0,-0.2510230603276314
658.0,2.0,6.0,-0.2589673099767051,2.0,6.0,-0.2510230603276314
606.0,2.0,6.0,-0.2589673099767051,2.0,6.0,-0.2510230603276314
603.0,2.0,6.0,-0.2606183181376406,2.0,6.0,-0.25263834841279154
613.0,2.0,6.0,-0.26444886687956065,2.0,6.0,-0.256489689987619
651.0,2.0,6.0,-0.26444886687956065,2.0,6.0,-0.256489689987619
664.0,2.0,6.0,-0.26444886687956065,2.0,6.0,-0.256489689987619
660.0,2.0,6.0,-0.26444886687956065,2.0,6.0,-0.256489689987619
671.0,2.0,6.0,-0.26444886687956065,2.0,6.0,-0.256489689987619
681.0,2.0,6.0,-0.2651773345057929,2.0,6.0,-0.2572494213252387
667.0,2.0,6.0,-0.2651773345057929,3.0,5.0,-0.14148736307178852
636.0,2.0,6.0,-0.2651773345057929,3.0,5.0,-0.14148736307178852
669.0,2.0,6.0,-0.2651773345057929,2.0,6.0,-0.2572494213252386
776.0,2.0,6.0,-0.26816124404128294,3.0,5.0,-0.1387962343286323
778.0,2.0,6.0,-0.26816124404128294,3.0,5.0,-0.1387962343286323
738.0,2.0,6.0,-0.26816124404128294,2.0,6.0,-0.26148215566704214
628.0,2.0,6.0,-0.2574591567547554,2.0,6.0,-0.24997241678937532
655.0,2.0,6.0,-0.2614859381990404,2.0,6.0,-0.253671812096679
664.0,2.0,6.0,-0.2614859381990404,2.0,6.0,-0.253671812096679
662.0,2.0,6.0,-0.2614859381990404,2.0,6.0,-0.253671812096679
674.0,2.0,6.0,-0.2614859381990404,2.0,6.0,-0.253671812096679
670.0,2.0,6.0,-0.2614859381990404,2.0,6.0,-0.253671812096679
698.0,2.0,6.0,-0.2614859381990404,2.0,6.0,-0.253671812096679
702.0,2.0,6.0,-0.25976921059533176,2.0,6.0,-0.25221610576987313
741.0,2.0,6.0,-0.25976921059533176,2.0,6.0,-0.25221610576987313
705.0,2.0,6.0,-0.25976921059533176,2.0,6.0,-0.25221610576987313
714.0,2.0,6.0,-0.26444084478795454,2.0,6.0,-0.25700508561866753
711.0,2.0,6.0,-0.26444084478795454,2.0,6.0,-0.25700508561866753
684.0,2.0,6.0,-0.2660360068496321,2.0,6.0,-0.25839245430254176
680.0,2.0,6.0,-0.2660360068496321,2.0,6.0,-0.25839245430254176
671.0,2.0,6.0,-0.2702118140725999,2.0,6.0,-0.26273895745771747
667.0,2.0,6.0,-0.2702118140725999,2.0,6.0,-0.26273895745771747
675.0,3.0,5.0,-0.14599867326946514,2.0,6.0,-0.26273895745771747
678.0,3.0,5.0,-0.14599867326946514,2.0,6.0,-0.26273895745771747
662.0,3.0,5.0,-0.14599867326946514,2.0,6.0,-0.26273895745771747
657.0,3.0,5.0,-0.1476793014609463,2.0,6.0,-0.26273895745771747
670.0,2.0,6.0,-0.2702118140725999,2.0,6.0,-0.26273895745771747
675.0,2.0,6.0,-0.2702118140725999,2.0,6.0,-0.26273895745771747
708.0,2.0,6.0,-0.2702118140725999,2.0,6.0,-0.26273895745771747
666.0,2.0,6.0,-0.2702118140725999,2.0,6.0,-0.26273895745771747
676.0,2.0,6.0,-0.2702118140725999,2.0,6.0,-0.26273895745771747
753.0,3.0,5.0,-0.14579441847549404,3.0,5.0,-0.14066074441380672
744.0,3.0,5.0,-0.14223476959627282,3.0,5.0,-0.1374385672833998
761.0,3.0,5.0,-0.14603353851375325,3.0,5.0,-0.14093104078920107
772.0,3.0,5.0,-0.14603353851375325,3.0,5.0,-0.14093104078920107
764.0,3.0,5.0,-0.1443967232841209,3.0,5.0,-0.139392489386886
768.0,3.0,5.0,-0.1443967232841209,3.0,5.0,-0.139392489386886
768.0,2.0,6.0,-0.2679674796747967,2.0,6.0,-0.2606666919343823
767.0,2.0,6.0,-0.2679674796747967,2.0,6.0,-0.2606666919343823
736.0,2.0,6.0,-0.2694102219959581,2.0,6.0,-0.2625298562261995
733.0,2.0,6.0,-0.2694102219959581,2.0,6.0,-0.2625298562261995
733.0,2.0,6.0,-0.2694102219959581,2.0,6.0,-0.26252985622619945
723.0,2.0,6.0,-0.2694102219959581,2.0,6.0,-0.2625298562261995
727.0,2.0,6.0,-0.2694102219959581,2.0,6.0,-0.2625298562261995
722.0,2.0,6.0,-0.2694102219959581,2.0,6.0,-0.2625298562261995
797.0,2.0,6.0,-0.2694102219959581,2.0,6.0,-0.26252985622619945
814.0,2.0,6.0,-0.2694102219959581,2.0,6.0,-0.2625298562261994
759.0,2.0,6.0,-0.2694102219959581,2.0,6.0,-0.2625298562261994
763.0,2.0,6.0,-0.2694102219959581,2.0,6.0,-0.2625298562261995
762.0,2.0,6.0,-0.2694102219959581,2.0,6.0,-0.2625298562261995
760.0,2.0,6.0,-0.2694102219959581,2.0,6.0,-0.2625298562261995
777.0,3.0,5.0,-0.14055691828265532,3.0,5.0,-0.13578548351862949
803.0,2.0,6.0,-0.2662862343993459,2.0,6.0,-0.259389690864664
785.0,2.0,6.0,-0.2662862343993459,2.0,6.0,-0.25938969086466407
790.0,2.0,6.0,-0.2573536353959365,2.0,6.0,-0.2499988006924188
784.0,3.0,5.0,-0.12363555020749449,2.0,6.0,-0.24110956226772745
807.0,3.0,5.0,-0.12369170484873729,2.0,6.0,-0.24129510469490492
797.0,3.0,5.0,-0.12681168139954643,2.0,6.0,-0.24415726843266092
803.0,3.0,5.0,-0.12681168139954643,2.0,6.0,-0.24415726843266092
816.0,3.0,5.0,-0.1231702688943398,2.0,6.0,-0.2407090807736755
807.0,3.0,5.0,-0.12477160179571435,2.0,6.0,-0.24213424513716
754.0,3.0,5.0,-0.12678391262090988,2.0,6.0,-0.24389137655032303
749.0,3.0,5.0,-0.12678391262090988,2.0,6.0,-0.24389137655032306
785.0,3.0,5.0,-0.12678391262090988,2.0,6.0,-0.24389137655032306
782.0,3.0,5.0,-0.12678391262090988,2.0,6.0,-0.24389137655032306
807.0,3.0,5.0,-0.1311337375233335,2.0,6.0,-0.24389137655032306
789.0,3.0,5.0,-0.13102729053856005,2.0,6.0,-0.24376157320620714
776.0,3.0,5.0,-0.12640162910168,2.0,6.0,-0.24376157320620714
774.0,3.0,5.0,-0.12640162910168,3.0,5.0,-0.11632828544402833
776.0,3.0,5.0,-0.12640162910168,3.0,5.0,-0.11632828544402828
759.0,3.0,5.0,-0.13723361256382963,3.0,5.0,-0.130282526711031
765.0,3.0,5.0,-0.13723361256382963,3.0,5.0,-0.13028252671103102
756.0,3.0,5.0,-0.13723361256382963,3.0,5.0,-0.13028252671103102
737.0,4.0,4.0,-0.009043982659940452,4.0,4.0,-0.004532618244165258
751.0,4.0,4.0,-0.009043982659940452,4.0,4.0,-0.004532618244165258
771.0,4.0,4.0,-0.006811681399546444,4.0,4.0,-0.0024194961568664007
777.0,4.0,4.0,-0.006811681399546444,4.0,4.0,-0.0024194961568664007
793.0,4.0,4.0,-0.006811681399546444,4.0,4.0,-0.0024194961568664007
806.0,3.0,5.0,-0.13313463229508957,3.0,5.0,-0.1262633396796987
850.0,4.0,4.0,-0.006811681399546444,4.0,4.0,-0.0024194961568663894
789.0,4.0,4.0,-0.006811681399546444,4.0,4.0,-0.0024194961568663894
799.0,4.0,4.0,-0.006582434704802456,4.0,4.0,-0.003008124851084573
795.0,4.0,4.0,-0.010624026164360315,4.0,4.0,-0.006784256841233397
698.0,4.0,4.0,-0.010624026164360315,4.0,4.0,-0.006784256841233408
687.0,4.0,4.0,-0.010560775057465945,4.0,4.0,-0.006688813205854056
696.0,4.0,4.0,-0.010560775057465945,4.0,4.0,-0.006688813205854057
683.0,4.0,4.0,-0.010560775057465945,4.0,4.0,-0.006688813205854057
653.0,3.0,5.0,-0.1371194520294349,3.0,5.0,-0.1314084505342046
632.0,3.0,5.0,-0.1371194520294349,3.0,5.0,-0.1314084505342046
641.0,3.0,5.0,-0.1371194520294349,3.0,5.0,-0.13140845053420455
650.0,3.0,5.0,-0.14031070177874455,3.0,5.0,-0.13470163772933372
650.0,3.0,5.0,-0.14339797287915954,3.0,5.0,-0.13772147435273646
679.0,3.0,5.0,-0.14339797287915954,3.0,5.0,-0.1377214743527364
705.0,3.0,5.0,-0.14339797287915954,3.0,5.0,-0.13772147435273646
705.0,3.0,5.0,-0.1404788571604881,3.0,5.0,-0.13500629381346477
715.0,3.0,5.0,-0.14000524521374247,3.0,5.0,-0.13467518546751236
689.0,3.0,5.0,-0.14000524521374247,3.0,5.0,-0.1346751854675123
672.0,3.0,5.0,-0.1380469292358958,3.0,5.0,-0.1316068634773369
702.0,3.0,5.0,-0.13718702272411717,3.0,5.0,-0.1307711590059553
720.0,3.0,5.0,-0.13930485490813163,3.0,5.0,-0.13282472125749997
710.0,3.0,5.0,-0.13930485490813163,3.0,5.0,-0.13282472125749997
674.0,4.0,4.0,-0.007032906002684316,4.0,4.0,0.0008971658793484577
672.0,4.0,4.0,-0.004646950833834714,4.0,4.0,0.00315897506473906
651.0,4.0,4.0,-0.004646950833834714,4.0,4.0,0.003158975064739082
649.0,4.0,4.0,-0.013277795776060227,4.0,4.0,-0.005761263873411574
648.0,4.0,4.0,-0.015187979204270221,4.0,4.0,-0.007610197977980206
637.0,4.0,4.0,-0.013849215532003517,4.0,4.0,-0.006199717848515088
624.0,4.0,4.0,-0.01289150121102729,4.0,4.0,-0.005185834484701857
636.0,4.0,4.0,-0.01289150121102729,4.0,4.0,-0.005185834484701857
671.0,4.0,4.0,-0.01289150121102729,4.0,4.0,-0.005185834484701857
710.0,4.0,4.0,-0.01289150121102729,3.0,5.0,-0.13865782697150317
726.0,4.0,4.0,-0.01289150121102729,3.0,5.0,-0.13865782697150317
736.0,4.0,4.0,-0.01289150121102729,3.0,5.0,-0.13865782697150317
712.0,4.0,4.0,-0.017455145708952347,3.0,5.0,-0.1432517200295822
672.0,4.0,4.0,-0.017455145708952347,4.0,4.0,-0.009779727542780838
