Cut Edges,Democratic Districts,Republican Districts,Efficiency Gap
676.0,3.0,5.0,-0.13151910646241188
671.0,3.0,5.0,-0.1336357044784869
687.0,3.0,5.0,-0.1300584687061292
680.0,3.0,5.0,-0.1294845806143071
685.0,3.0,5.0,-0.12772249733882537
692.0,3.0,5.0,-0.12772249733882537
725.0,3.0,5.0,-0.12772249733882537
743.0,3.0,5.0,-0.128964378827849
730.0,3.0,5.0,-0.128964378827849
724.0,3.0,5.0,-0.12855309236204315
713.0,3.0,5.0,-0.12529550608599066
702.0,3.0,5.0,-0.12529550608599066
708.0,3.0,5.0,-0.1349433054102837
737.0,3.0,5.0,-0.13445920303605313
715.0,3.0,5.0,-0.13445920303605313
708.0,3.0,5.0,-0.13445920303605313
784.0,3.0,5.0,-0.13445920303605313
761.0,3.0,5.0,-0.13445920303605313
742.0,3.0,5.0,-0.13553601456318168
722.0,3.0,5.0,-0.1306172382406936
737.0,3.0,5.0,-0.1306172382406936
768.0,4.0,4.0,-0.008996467194273461
698.0,4.0,4.0,-0.008996467194273461
701.0,4.0,4.0,-0.008996467194273461
695.0,4.0,4.0,-0.008996467194273461
719.0,4.0,4.0,-0.004777772635411364
724.0,4.0,4.0,-0.003432221039477947
729.0,4.0,4.0,-0.003432221039477947
721.0,4.0,4.0,-0.003432221039477947
734.0,4.0,4.0,-0.007141821323336573
749.0,4.0,4.0,-0.008183459064192159
792.0,4.0,4.0,-0.008183459064192159
833.0,4.0,4.0,-0.008183459064192159
819.0,4.0,4.0,-0.0038614029404051156
854.0,4.0,4.0,-0.0038614029404051156
833.0,4.0,4.0,-0.0038614029404051156
826.0,4.0,4.0,-0.0038614029404051156
891.0,4.0,4.0,-0.0038614029404051156
827.0,4.0,4.0,-0.0018571142068156924
831.0,3.0,5.0,-0.1386069329383996
835.0,3.0,5.0,-0.1386069329383996
786.0,3.0,5.0,-0.1386069329383996
781.0,3.0,5.0,-0.13619752857870135
786.0,3.0,5.0,-0.13619752857870135
815.0,4.0,4.0,0.0005522901528825535
800.0,3.0,5.0,-0.12057018558800389
799.0,3.0,5.0,-0.1201335986794403
790.0,4.0,4.0,0.0009888770614461364
777.0,4.0,4.0,0.0009888770614461364
771.0,4.0,4.0,0.001257617130250999
763.0,4.0,4.0,0.0031721201462489006
743.0,4.0,4.0,0.0031721201462489006
714.0,4.0,4.0,0.0004575677635334228
725.0,4.0,4.0,0.0004575677635334228
732.0,4.0,4.0,0.0004575677635334228
739.0,4.0,4.0,-0.006749664460591475
735.0,4.0,4.0,-0.0025507165887598154
713.0,4.0,4.0,-0.0025507165887598154
692.0,4.0,4.0,-0.0025507165887598154
637.0,4.0,4.0,0.0016053439471776121
645.0,4.0,4.0,-0.00473920488730504
720.0,4.0,4.0,-0.00473920488730504
682.0,4.0,4.0,-0.00473920488730504
673.0,4.0,4.0,-0.00473920488730504
676.0,4.0,4.0,-0.00473920488730504
644.0,4.0,4.0,-0.00473920488730504
624.0,4.0,4.0,-0.00473920488730504
619.0,4.0,4.0,-0.00473920488730504
674.0,4.0,4.0,-0.010552135881890128
665.0,4.0,4.0,-0.010552135881890128
655.0,4.0,4.0,-0.010552135881890128
643.0,4.0,4.0,-0.006612054735348112
667.0,4.0,4.0,-0.006612054735348112
684.0,4.0,4.0,-0.0023177673901976213
702.0,4.0,4.0,-0.0023177673901976213
674.0,4.0,4.0,-0.0023177673901976213
674.0,4.0,4.0,-0.0023177673901976213
635.0,4.0,4.0,-0.0018737754739976242
601.0,4.0,4.0,-0.0018737754739976242
601.0,3.0,5.0,-0.12238626371083446
624.0,3.0,5.0,-0.12168309652735997
660.0,3.0,5.0,-0.12168309652735997
661.0,3.0,5.0,-0.12098208913777943
691.0,3.0,5.0,-0.12528532420049057
671.0,3.0,5.0,-0.12609555545270823
705.0,3.0,5.0,-0.12769040897240092
701.0,4.0,4.0,-0.0055830672158713995
684.0,4.0,4.0,-0.0055830672158713995
698.0,4.0,4.0,-0.0055830672158713995
698.0,4.0,4.0,-0.0055830672158713995
700.0,4.0,4.0,-0.0055830672158713995
692.0,4.0,4.0,-0.0055830672158713995
677.0,4.0,4.0,-0.0055830672158713995
693.0,4.0,4.0,-0.009996143225189368
721.0,4.0,4.0,-0.009996143225189368
731.0,4.0,4.0,-0.009996143225189368
762.0,4.0,4.0,-0.009996143225189368
772.0,4.0,4.0,-0.009996143225189368
728.0,4.0,4.0,-0.009996143225189368
725.0,3.0,5.0,-0.12528624982644512
747.0,3.0,5.0,-0.12528624982644512
700.0,3.0,5.0,-0.12528624982644512
690.0,3.0,5.0,-0.1278354237052807
686.0,3.0,5.0,-0.1278354237052807
830.0,3.0,5.0,-0.1278354237052807
828.0,3.0,5.0,-0.1278354237052807
820.0,3.0,5.0,-0.1278354237052807
825.0,3.0,5.0,-0.1278354237052807
792.0,3.0,5.0,-0.1278354237052807
783.0,3.0,5.0,-0.13597075021983615
798.0,3.0,5.0,-0.13597075021983615
783.0,3.0,5.0,-0.13597075021983615
781.0,3.0,5.0,-0.13597075021983615
780.0,3.0,5.0,-0.12987766310300675
772.0,3.0,5.0,-0.12987766310300675
771.0,3.0,5.0,-0.12987766310300675
777.0,3.0,5.0,-0.1298724178892643
758.0,3.0,5.0,-0.13262430385214669
776.0,3.0,5.0,-0.1300489039045988
717.0,3.0,5.0,-0.1300489039045988
719.0,3.0,5.0,-0.12607920272751114
741.0,3.0,5.0,-0.12607920272751114
710.0,3.0,5.0,-0.1271529288347912
687.0,3.0,5.0,-0.1271529288347912
679.0,3.0,5.0,-0.12983199888924885
675.0,3.0,5.0,-0.12983199888924885
667.0,3.0,5.0,-0.12983199888924885
717.0,3.0,5.0,-0.12983199888924885
669.0,3.0,5.0,-0.12983199888924885
676.0,3.0,5.0,-0.12983199888924885
660.0,3.0,5.0,-0.12175313555792104
776.0,2.0,6.0,-0.25597599543357863
752.0,2.0,6.0,-0.2671331821477608
755.0,2.0,6.0,-0.2669576217583808
761.0,2.0,6.0,-0.26890174480492435
760.0,2.0,6.0,-0.26890174480492435
754.0,2.0,6.0,-0.26890174480492435
790.0,2.0,6.0,-0.26890174480492435
811.0,2.0,6.0,-0.26890174480492435
817.0,2.0,6.0,-0.26890174480492435
762.0,3.0,5.0,-0.13242591135588774
792.0,3.0,5.0,-0.13899816417519015
791.0,3.0,5.0,-0.13899816417519015
795.0,3.0,5.0,-0.13499143795992039
775.0,3.0,5.0,-0.13133614106539548
862.0,3.0,5.0,-0.13133614106539548
876.0,3.0,5.0,-0.13133614106539548
916.0,3.0,5.0,-0.1353373135249379
921.0,3.0,5.0,-0.13552614121966647
845.0,3.0,5.0,-0.13552614121966647
801.0,3.0,5.0,-0.13552614121966647
811.0,3.0,5.0,-0.13552614121966647
800.0,3.0,5.0,-0.13552614121966647
774.0,3.0,5.0,-0.13356258002807733
781.0,4.0,4.0,0.0002536215115471838
767.0,4.0,4.0,-0.008680520201786458
762.0,4.0,4.0,-0.008680520201786458
760.0,4.0,4.0,-0.0030854198485058856
748.0,4.0,4.0,-0.0030854198485058856
775.0,4.0,4.0,-0.010702087286527514
753.0,4.0,4.0,-0.004342728436772034
763.0,4.0,4.0,-0.004342728436772034
762.0,4.0,4.0,-0.004342728436772034
709.0,4.0,4.0,-0.00721371160580676
715.0,4.0,4.0,-0.00721371160580676
705.0,4.0,4.0,-0.00721371160580676
716.0,4.0,4.0,-0.00835130590395088
720.0,4.0,4.0,-0.011735394393792136
682.0,4.0,4.0,-0.007259067277579797
684.0,4.0,4.0,-0.009947393591582974
683.0,4.0,4.0,-0.009947393591582974
659.0,4.0,4.0,-0.01621943505962574
668.0,4.0,4.0,-0.013303713302787677
667.0,4.0,4.0,-0.013619043211304978
689.0,4.0,4.0,-0.00825133830085929
671.0,4.0,4.0,-0.00825133830085929
677.0,4.0,4.0,-0.00825133830085929
687.0,4.0,4.0,-0.00825133830085929
681.0,4.0,4.0,-0.008965921537773253
655.0,4.0,4.0,-0.008965921537773253
795.0,4.0,4.0,-0.008965921537773253
846.0,3.0,5.0,-0.1393199734653893
731.0,2.0,6.0,-0.2576884034494994
735.0,2.0,6.0,-0.2576884034494994
688.0,3.0,5.0,-0.12733435152188333
737.0,3.0,5.0,-0.13068234059949707
645.0,4.0,4.0,-0.012962157325558075
659.0,4.0,4.0,-0.012962157325558075
667.0,4.0,4.0,-0.0144949939062958
773.0,4.0,4.0,-0.014564724394872032
794.0,4.0,4.0,-0.016492186174233658
799.0,4.0,4.0,-0.016492186174233658
805.0,4.0,4.0,-0.01680628191481156
801.0,4.0,4.0,-0.01680628191481156
756.0,4.0,4.0,-0.018750713503339966
759.0,4.0,4.0,-0.01873158390027923
759.0,4.0,4.0,-0.01873158390027923
770.0,4.0,4.0,-0.01873158390027923
770.0,4.0,4.0,-0.01873158390027923
819.0,4.0,4.0,-0.010214899492448436
710.0,4.0,4.0,-0.010969284645408124
749.0,4.0,4.0,-0.010969284645408124
705.0,4.0,4.0,-0.016086762006139985
649.0,4.0,4.0,-0.016086762006139985
650.0,4.0,4.0,-0.016086762006139985
680.0,4.0,4.0,-0.009876428935067339
680.0,4.0,4.0,-0.009876428935067339
659.0,4.0,4.0,-0.002879313802625692
684.0,4.0,4.0,-0.002879313802625692
669.0,4.0,4.0,-0.002879313802625692
685.0,4.0,4.0,-0.002879313802625692
716.0,4.0,4.0,-0.002879313802625692
686.0,4.0,4.0,-0.002879313802625692
703.0,4.0,4.0,-0.002879313802625692
651.0,4.0,4.0,-0.006137517162647908
639.0,4.0,4.0,-0.006137517162647908
666.0,4.0,4.0,-0.012498418722327641
697.0,4.0,4.0,-0.012498418722327641
757.0,4.0,4.0,-0.012498418722327641
761.0,4.0,4.0,-0.006650313941469585
763.0,4.0,4.0,-0.006650313941469585
760.0,4.0,4.0,-0.0018549544129217383
